Title;Company;Location;Date;Link
Data Analyst;BOLD by Devoteam;Lisboa, Portugal;Há 1 ano;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1684545972?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=pnMIVagh5ybepliKc16xvQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-bold-by-devoteam-1518265957?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=H8YDZJ%2FBgo8twdfgtBPGHQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
DATA/BI ANALYST;EGOR;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/data-bi-analyst-at-egor-2723583353?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=Odg%2BWvAPRoSahYF2V7Q7yg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Platform as a Service;Talkdesk;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-platform-as-a-service-at-talkdesk-2656535490?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=1Tgh06wouIkHWVShj6eTEA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst;BBDM Consulting Services;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bbdm-consulting-services-2688541097?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=QdGHQXL9%2BbXeuR%2FhHl4iPw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Data Quality;Carpe Data;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-data-analyst-data-quality-at-carpe-data-2694328339?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=ZD8wyj1nr%2BmPysEmmOcxUA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Alignment Analyst, anywhere in Europe;IQVIA;Oeiras, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-alignment-analyst-anywhere-in-europe-at-iqvia-2702863728?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=ug0lUpRXPYKszkugUhheEA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst ( Tableau/ Sql);Axianspt;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axianspt-2709693958?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=xp85otjeNYZG5qvMpbuq7g%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst ( Tableau/ SQL);Axians Portugal;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axians-portugal-2713259269?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=ZaALnI43TA6so4scLtYP4Q%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-winning-2714985217?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=8gRqZ%2FeQ3rf7P4Z3BUtY4A%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
