Title;Company;Location;Date;Link
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 5 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2718207673?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=yg%2Ff%2BLRE%2FE%2FhP2TbUJfYGA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Banking Industry (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-banking-industry-m-f-at-noesis-2718878004?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=BjjMPlZC5JAhEMyFnA0V%2FA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst;BBDM Consulting Services;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bbdm-consulting-services-2688541097?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=DkXqNjJa8o4PievACG1Skw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-bold-by-devoteam-1518265957?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=B1YtpQTvfuw379vMbAye3g%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Valuation Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/valuation-data-analyst-at-bnp-paribas-cib-2705607776?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=Tg8D5fm28rOjib7VAIEBvg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Data Quality;Carpe Data;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-data-analyst-data-quality-at-carpe-data-2694328339?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=CT5VPv8r66kATDgYraB5BQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst;GroupM Portugal;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/marketing-data-analyst-at-groupm-portugal-2715105427?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=%2Bi9wfZ%2B9UZHDQxtpin%2Fp7A%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Platform as a Service;Talkdesk;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-platform-as-a-service-at-talkdesk-2656535490?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=FK5RRgN6TxzB9s7VyEcocQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
HR Data Analyst;Amgen;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/hr-data-analyst-at-amgen-2687295400?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=JOLd2WicuCkd2xE72%2BVj0Q%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst Developer (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-developer-m-f-at-noesis-2700131751?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=ASWtySqdQUuCPVouk9UYaQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
