Title;Company;Location;Date;Link
IT Business Analyst;agap2IT Portugal;Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/it-business-analyst-at-agap2it-portugal-2720164743?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=SiVNkdXVkGDOfGVwMpDV4g%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst;InnoTech.pt;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/business-analyst-at-innotech-pt-2623169924?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=52ER00UhcYf5JHJupni6kQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
IT Business Analyst - Energy Sector (F/M);Capgemini Engineering;Lisboa, Portugal;Há 1 hora;https://pt.linkedin.com/jobs/view/it-business-analyst-energy-sector-f-m-at-capgemini-engineering-2720248920?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=dM9K2MDGqDSIXAgqTyekDQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst-Portugal;MetricStream;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/business-analyst-portugal-at-metricstream-2717953993?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=SyrhNNxg%2Ba9%2FZ8wB1vhDMQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst;Reloading;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/business-analyst-at-reloading-2718456252?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=4d6%2FwWArHMDspIV07sAKNg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Fintech Business Analyst;Rydoo;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/fintech-business-analyst-at-rydoo-2720303826?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=E0PgrtyejTA1ckEifKalzA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst (m/f);ADENTIS;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-adentis-2711479441?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=LqV0eZoEgguX5ZEk5TJR0g%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Oferta: Business Analyst;IDW;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/oferta-business-analyst-at-idw-2713064506?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=3T9QB6yOp%2FSQYT4RIWv%2BhA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst;BOLD by Devoteam;Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/business-analyst-at-bold-by-devoteam-2721605983?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=6d0Iyh6NzSht2OhIziRERg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst - Lisboa (M/F);AskBlue;Lisboa, Lisboa, Portugal;Há 19 horas;https://pt.linkedin.com/jobs/view/business-analyst-lisboa-m-f-at-askblue-2723772654?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=7qk%2BIqwTXcAoE3Q9P8lghw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
