Title;Company;Location;Date;Link
Data Analyst | Remote Friendly Policy;Tamanna.com;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-remote-friendly-policy-at-tamanna-com-2696210292?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=BqO%2FTRkBS0lEQY5RoMg6bw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Platform as a Service;Talkdesk;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-platform-as-a-service-at-talkdesk-2656535490?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=lNc2SkuG%2FPwSBkYNzqecEg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2720962498?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=OIAi0b6WilEQnYRt2I00Bg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2710706126?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=nEFXnsK2nLnRidwepewn5Q%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst | Lisbon;Loggi;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-data-analyst-lisbon-at-loggi-2655493164?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=C6Au%2BCFJgmYWas9qUkTPCg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst;BBDM Consulting Services;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bbdm-consulting-services-2688541097?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=E88eKpdg6TK4NNv01TvR1A%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Analyst;Tripadvisor;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-analyst-at-tripadvisor-2653892291?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=HNps3R7cfKmlFZJ83li4zA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Master Data Analyst - m/f;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-m-f-at-michael-page-2719880135?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=bmCgO0Tx0c8KSkFmH0E5dA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Quality Data Analyst- Power BI;ConvaTec;Lisboa, Lisboa, Portugal;Há 10 horas;https://pt.linkedin.com/jobs/view/quality-data-analyst-power-bi-at-convatec-2674470471?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=IuQjooEruaqTurl2r6XYAA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Oferta: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/oferta-data-analyst-m-f-at-nbcc-2723051070?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=2PWqmNMtO3sgK%2B7r10mlXg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Sr. Associate Data Engineer;Amgen;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/sr-associate-data-engineer-at-amgen-2718041590?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=sulD%2FKJSmG0J%2Bv%2FJhcJs2w%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Master Data Analyst;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-at-michael-page-2717925566?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=q2eUF4Dgzis8%2FDFs9MpZDQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 5 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2718207673?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=TJ4QpaVfp1T%2FfQwjcnTdVQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
HR Data Analyst;Amgen;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/hr-data-analyst-at-amgen-2687295400?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=zSRF1xKX5K%2BYLuMclEqn%2Bw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Banking Industry (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-banking-industry-m-f-at-noesis-2718878004?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=tVUGleUxC0%2Fz0rd1%2F9iUlA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Machine Learning Specialist;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 5 meses;https://pt.linkedin.com/jobs/view/machine-learning-specialist-at-bold-by-devoteam-2348162904?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=vCI9Xkc6NwRxAjzDtlN6cw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Business product analyst;GEFCO;Lisboa, Lisboa, Portugal;Há 2 horas;https://pt.linkedin.com/jobs/view/business-product-analyst-at-gefco-2570406581?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=zV1XOvv9aBBpndAlzttGlg%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Supply Chain Analyst;KDR Recruitment Ltd;Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/supply-chain-analyst-at-kdr-recruitment-ltd-2720852192?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=xODWxdXBstz%2B9wlY%2Bwg27A%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Big Data Developer;ITDS Business Consultants;Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/big-data-developer-at-itds-business-consultants-2708090362?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=Dq6wvHa9l5agjUQGbVMlEQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Data Quality;Carpe Data;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-data-analyst-data-quality-at-carpe-data-2694328339?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=E7zJGCicmS2gFhIzaIMCcA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Data Analyst – European Marketing Organisation;Tech Data;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-data-analyst-%E2%80%93-european-marketing-organisation-at-tech-data-2658830163?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=ux4FQrPlr5uE1EiH4qFFYw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Credit Risk Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/credit-risk-data-analyst-at-bnp-paribas-cib-2710151880?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=cHrul9EdCJeO6yRlyt8SJQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: KINDAHOME - Junior Data Analyst - Lisboa;KINDA HOME PORTUGAL S.A.;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-kindahome-junior-data-analyst-lisboa-at-kinda-home-portugal-s-a-2664948672?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=ieKu%2BSE3MUPiR4k%2FivG6kA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
Head of Data & Analytics;Indie Campers;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/head-of-data-analytics-at-indie-campers-2704693572?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=NYc0XI76Sy7M15%2Fax0Ndeg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-data-analyst-m-f-at-nbcc-2723043920?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=Fyte2i3f5%2BF0IiBx2VLlfQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Software Engineer (Data);Damia Group Portugal;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/software-engineer-data-at-damia-group-portugal-2719645360?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=qRI4kYlVrFZcofnED9G98g%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Machine Learning;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-machine-learning-at-bnp-paribas-cib-2664014576?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=2W7nuwpumB3%2FedK346M1wg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Scientist / Engineer - Stress Testing and Data Analytics;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-data-scientist-engineer-stress-testing-and-data-analytics-at-bnp-paribas-cib-2697114862?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=yjgSgd0ppYz%2BxnPiPkFvQg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: Big Data Analyst;KCS iT;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-big-data-analyst-at-kcs-it-2664956620?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=u4BhOr0wHLMcaaf%2FZ8nGsQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Business Systems & Data Analyst;Synopsys Inc;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-business-systems-data-analyst-at-synopsys-inc-2579815212?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=eyKI4ahTv9eAfN82WCA6dA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Quality Control Analyst (M/F);AskBlue;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/quality-control-analyst-m-f-at-askblue-2718554596?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=eQANRi7L2I6%2B5v5T%2B9zSIQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
8773 - Natural Language Processing Analyst;Qualitest;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/8773-natural-language-processing-analyst-at-qualitest-2698177660?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=lLBix%2BtamgyoWr4S6CvyZA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Talent Data Analyst;OLX Group;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/senior-talent-data-analyst-at-olx-group-2693503617?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=udfwuZ%2Fp%2FyiDYFn9D7n7QQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
2021 Vodafone Portugal Youth Internships Data Analytics;Vodafone;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/2021-vodafone-portugal-youth-internships-data-analytics-at-vodafone-2699749723?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=b68msLD5AvBz3w6%2FXvTPmw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Commercial Analyst;KDR Recruitment Ltd;Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/senior-commercial-analyst-at-kdr-recruitment-ltd-2686117095?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=MLsjEpblIE9UFD8YJWMOzA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Recruiter - Digital & Analytics;McKinsey & Company;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/recruiter-digital-analytics-at-mckinsey-company-2686379147?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=rIr%2BAY4aak0uKF2h6En53Q%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Business Process Analyst;Synopsys Inc;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/senior-business-process-analyst-at-synopsys-inc-2656358260?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=Zu1If0l%2F2g%2BChqx4D3FTWA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
Technical Crawling Specialist;Salsify;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/technical-crawling-specialist-at-salsify-2718153337?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=ze%2BMv3TaUUCIw8aD3oFM5A%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Head of C2R2 Lisbon;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/head-of-c2r2-lisbon-at-bnp-paribas-cib-2688250973?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=UrTEqu2VPhMVH582qfQjrg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
8534 - Technical Solutions Specialist;Qualitest;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/8534-technical-solutions-specialist-at-qualitest-2706523825?refId=u5cZ%2BittS5iJ7honyCZuNA%3D%3D&trackingId=d6OPQhvqcmOJTwcV7BkVNA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
